2018-09-27 20:55:25,829 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Connection: Keep-Alive[\r][\n]"
2018-09-27 20:55:25,829 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2018-09-27 20:55:25,829 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2018-09-27 20:55:25,829 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "[\r][\n]"
2018-09-27 20:55:25,829 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "{"windowHandle":"current"}"
2018-09-27 20:55:26,050 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "HTTP/1.1 200 OK[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "content-type: application/json; charset=UTF-8[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "connection: close[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "content-length: 98[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "server: httpd.js[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "date: Fri, 28 Sep 2018 01:55:26 GMT[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "[\r][\n]"
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.headers  - http-outgoing-2 << HTTP/1.1 200 OK
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.headers  - http-outgoing-2 << content-type: application/json; charset=UTF-8
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.headers  - http-outgoing-2 << connection: close
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.headers  - http-outgoing-2 << content-length: 98
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.headers  - http-outgoing-2 << server: httpd.js
2018-09-27 20:55:26,051 [DEBUG] org.apache.http.headers  - http-outgoing-2 << date: Fri, 28 Sep 2018 01:55:26 GMT
2018-09-27 20:55:26,053 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "{"name":"maximizeWindow","sessionId":"ed084045-96ff-4b6f-96df-d71fb6b6e094","status":0,"value":""}"
2018-09-27 20:55:26,053 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: Shutdown connection
2018-09-27 20:55:26,053 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
2018-09-27 20:55:26,053 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: Close connection
2018-09-27 20:55:26,053 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 2][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:26,057 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
2018-09-27 20:55:26,057 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2018-09-27 20:55:26,058 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:26,058 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 3][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2018-09-27 20:55:26,058 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2018-09-27 20:55:26,058 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2018-09-27 20:55:26,059 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:52268<->127.0.0.1:7055
2018-09-27 20:55:26,059 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request DELETE /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/cookie HTTP/1.1
2018-09-27 20:55:26,059 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2018-09-27 20:55:26,059 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2018-09-27 20:55:26,059 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> DELETE /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/cookie HTTP/1.1
2018-09-27 20:55:26,059 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Host: 127.0.0.1:7055
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Connection: Keep-Alive
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Accept-Encoding: gzip,deflate
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "DELETE /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/cookie HTTP/1.1[\r][\n]"
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Host: 127.0.0.1:7055[\r][\n]"
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Connection: Keep-Alive[\r][\n]"
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2018-09-27 20:55:26,060 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "[\r][\n]"
2018-09-27 20:55:26,149 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "HTTP/1.1 200 OK[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "content-type: application/json; charset=UTF-8[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "connection: close[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "content-length: 100[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "server: httpd.js[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "date: Fri, 28 Sep 2018 01:55:26 GMT[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "[\r][\n]"
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.headers  - http-outgoing-3 << HTTP/1.1 200 OK
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.headers  - http-outgoing-3 << content-type: application/json; charset=UTF-8
